id,name
648,bard
649,maskandi
650,aggrotech
651,techno kayo
652,rap algerien
653,alternative metal
654,japanese post-punk
655,electrofox
656,perreo
657,ghoststep
658,louisiana metal
659,colombian rock
660,south african jazz
661,tecnobrega
662,contemporary classical piano
663,dark jazz
664,alternative country
665,mollywood
666,freestyle
667,techno
668,grupera
669,palestinian pop
670,spanish pop rock
671,modern southern rock
672,uk post-punk
673,historic classical performance
674,gospel rap
675,scottish americana
676,progressive jazz fusion
677,coventry indie
678,brazilian reggae
679,new isolationism
680,irish techno
681,swedish doom metal
682,nyc rap
683,pop nacional
684,italo dance
685,croatian rock
686,japanese prog
687,powwow
688,boston hip hop
689,detroit hip hop
690,baroque
691,nu jazz
692,bow pop
693,swansea indie
694,boston rock
695,latvian pop
696,german punk
697,norwegian singer-songwriter
698,idaho indie
699,violao
700,raw techno
701,progressive deathcore
702,romanian trap
703,baroque pop
704,spanish jazz
705,kizomba
706,sky room
707,merida indie
708,russian folk
709,islamic recitation
710,zouglou
711,uk reggae
712,blues rock
713,cork indie
714,mandopop
715,dutch cabaret
716,danish jazz
717,cyberpunk
718,birmingham metal
719,peruvian punk
720,jangle pop
721,rap metalcore
722,pop folk
723,rabindra sangeet
724,slow core
725,celtic punk
726,filthstep
727,modular techno
728,focus
729,detski pesnichki
730,indie platense
731,swedish americana
732,future funk
733,hardcore punk
734,hong kong hip hop
735,canadian country
736,dark progressive house
737,rockabilly en espanol
738,moroccan pop
739,turkish modern jazz
740,deep r&b
741,hungarian punk
742,dark cabaret
743,rock nacional brasileiro
744,brit funk
745,aberdeen indie
746,swedish folk pop
747,ecuadorian pop
748,new orleans jazz
749,neue volksmusik
750,mambo
751,australian reggae fusion
752,swedish pop
753,djembe
754,makossa
755,nice indie
756,desi pop
757,classic polish pop
758,latintronica
759,uk rockabilly
760,atl trap
761,retro electro
762,dutch americana
763,japanese r&b
764,novelty
765,bolero cubano
766,modern salsa
767,taiwan campus folk
768,kleinkunst
769,philly soul
770,disney portugues brasil
771,praise
772,deep norteno
773,pittsburgh rap
774,house
775,musica sarda
776,icelandic metal
777,vocal harmony group
778,deep latin christian
779,southern metal
780,sydney indie
781,speedcore
782,underground rap
783,mantra
784,american modern classical
785,schweizer rap
786,jazz trumpet
787,dominican indie
788,classic israeli pop
789,comedy rap
790,hmong pop
791,chicago indie
792,folklore argentino
793,circus
794,glasgow indie
795,indonesian hip hop
796,english indie rock
797,mashup
798,devon indie
799,rawstyle
800,swiss worship
801,roots worship
802,indie emo
803,minnesota hip hop
804,italian tech house
805,russian modern classical
806,memphis soul
807,new rave
808,italian pop
809,cryptic black metal
810,corridos cristianos
811,washington indie
812,rap dominicano
813,welsh hip hop
814,italian post-hardcore
815,shimmer pop
816,german stoner rock
817,leeds indie
818,vegas indie
819,brass ensemble
820,healing
821,swedish hardcore
822,kannada bhava geethe
823,colombian hip hop
824,acoustic pop
825,jumpstyle
826,freakbeat
827,thrash core
828,hip pop
